ID,Name_deDE,Name_enUS,Name_esES,Name_esMX,Name_frFR,Name_koKR,Name_ptBR,Name_ruRU,Name_zhCN,Name_zhTW
63,Darkhowl,Darkhowl,Aullido Oscuro,Aullido Oscuro,Darkhowl,다크하울,Uivonegro,Мрачный Вой,Darkhowl,Darkhowl
64,Grell,Grell,Grell,Grell,Grell,그렐,Capeta,Грелль,劣魔,劣魔
65,Furbolg,Furbolg,Fúrbolg,Fúrbolg,Furbolg,펄볼그,Pelurso,Фурболг,熊怪,熊怪
66,"Horde, Standard",Horde Generic,Genérico de la Horda,Genérico de la Horda,Horde Générique,호드,Genérico da Horda,Орда: стандартный,部落友军,部落友軍
67,Horde,Horde,Horda,Horda,Horde,호드 연합,Horda,Орда,部落,部落
68,Undercity,Undercity,Entrañas,Entrañas,Undercity,언더시티,Cidade Baixa,Подгород,幽暗城,幽暗城
69,Darnassus,Darnassus,Darnassus,Darnassus,Darnassus,다르나서스,Darnassus,Дарнасс,达纳苏斯,達納蘇斯
70,Syndikat,Syndicate,Sindicato,La Hermandad,Syndicat,비밀결사대,Camarilha,Синдикат,辛迪加,辛迪加
71,Hillsbradmiliz,Hillsbrad Militia,Milicia de Trabalomas,Milicia de Trabalomas,Milice d'Hillsbrad,힐스브래드 민병대,Milícia de Eira dos Montes,Дружина Хилсбрада,希尔斯布莱德民兵,希爾斯布萊德民兵
72,Stormwind,Stormwind,Ventormenta,Ventormenta,Stormwind,스톰윈드,Ventobravo,Штормград,暴风城,暴風城
73,Dämon,Demon,Demonio,Demonio,Démon,악마,Demônio,Демон,恶魔,惡魔
74,Elementar,Elemental,Elemental,Elemental,Elémentaire,정령,Elemental,Элементаль,元素生物,元素生物
75,Geist,Spirit,Espíritu,Espíritu,Esprit,영혼,Espírito,Дух,灵魂,靈魂
76,Orgrimmar,Orgrimmar,Orgrimmar,Orgrimmar,Orgrimmar,오그리마,Orgrimmar,Оргриммар,奥格瑞玛,奧格瑪
77,Schatz,Treasure,Tesoro,Tesoro,Trésor,보물,Tesouro,Сокровище,宝物,寶物
78,Gnoll - Morastschnauzen,Gnoll - Mudsnout,Gnoll: Fangorroca,Gnoll: Morrobarro,Gnoll - Fangemufle,놀 - 진흙주둥이일족,Gnoll - Fuçalama,Гнолл: Грязнорылы,泥嘴豺狼人,泥嘴豺狼人
79,"Hillsbrad, Hauptstadt von Southshore","HIllsbrad, Southshore Mayor","Trabalomas, Alcalde de Costasur","Trabalomas, Alcalde de Costasur","Hillsbrad, maire de Southshore",힐스브래드 - 사우스쇼어 시장,"Eira dos Montes, Prefeito de Costa Sul","Хиллсбрад, мэр Южнобережья",希尔斯布莱德，南海镇,希爾斯布萊德，南海鎮
80,"Drachenschwarm, Schwarz","Dragonflight, Black","Vuelo, Negro","Vuelo, Negro",Vol Noir,용군단 - 검은용군단,Revoada Dragônica Negra,Черные драконы,黑龙,黑龍軍團
81,Thunder Bluff,Thunder Bluff,Cima del Trueno,Cima del Trueno,Thunder Bluff,썬더 블러프,Penhasco do Trovão,Громовой Утес,雷霆崖,雷霆崖
82,"Troll, Witherbark","Troll, Witherbark","Trol, Secacorteza","Trol, Secacorteza","Troll, Witherbark",트롤 - 마른나무껍질부족,"Troll, Cascasseca",Тролль: Сухокожие,枯木巨魔,枯木食人妖
83, Lederverarbeitung - Elementar, Leatherworking - Elemental, Peletería: elemental, Peletería: elemental, Travail du cuir - Elémentaire, 가죽세공 - 정기, Couraria - Elemental,Кожевничество: сила стихий,怪物 - 无组织, 製皮 - 元素
84,"Stacheleber, Grimmhauer","Quilboar, Razormane","Jabaespín, Crines de Acero","Jabaespín, Crines de Acero","Huran, Tranchecrin",가시멧돼지 - 서슬갈기일족,"Javatusco, Crinavalha",Свинобраз: Иглогривые,钢鬃野猪人,鋼鬃野豬人
85,"Stacheleber, Borstennacken","Quilboar, Bristleback","Jabaespín, Erizapúas","Jabaespín, Erizapúas","Huran, Dos-hirsute",가시멧돼지 - 뾰족털일족,"Javatusco, Costagulha",Свинобраз: Дыбогривы,刺背野猪人,刺背野豬人
86, Lederverarbeitung - Drachen, Leatherworking - Dragonscale, Peletería: dragontina, Peletería: dragontina, Travail du cuir - Écailles de dragon, 가죽세공 - 용비늘, Couraria - Escama de Dragão,Кожевничество: чешуя драконов,怪物 - 有组织, 製皮 - 龍鱗
87,Blutsegelbukaniere,Bloodsail Buccaneers,Bucaneros Velasangre,Bucaneros Velasangre,La Voile sanglante,붉은해적단,Bucaneiros da Vela Sangrenta,Пираты Кровавого Паруса,血帆海盗,血帆海盜
88,Blackfathom,Blackfathom,Brazanegra,Brazanegra,Brassenoire,검은심연,Profundezas Negras,Непроглядная пучина,黑暗深渊,黑暗深淵
89,Makrura,Makrura,Makrura,Makrura,Makrura,마크루라,Makrura,Макрура,龙虾人,龍蝦人
90,"Zentaur, Kolkar","Centaur, Kolkar","Centauro, Kolkar","Centauro, Kolkar",Centaures (Kolkar),켄타우로스 - 콜카르일족,"Centauro, Kolkar",Кентавр: Колкар,科卡尔半人马,科卡爾半人馬
91,"Zentaur, Galak","Centaur, Galak","Centauro, Galak","Centauro, Galak",Centaures (Galak),켄타우로스 - 갈라크일족,"Centauro, Galath",Кентавр: Галак,加拉克半人马,加拉克半人馬
92,Gelkisklan,Gelkis Clan Centaur,Centauro del clan Gelkis,Centauros del clan Gelkis,Centaures (Gelkis),켄타우로스 - 겔키스일족,Clã dos Centauros Gelkis,Кентавры из племени Гелкис,吉尔吉斯半人马,吉爾吉斯半人馬
93,Magramklan,Magram Clan Centaur,Centauro del clan Magram,Centauros del clan Magram,Centaures (Magram),켄타우로스 - 마그람일족,Clã dos Centauros Magram,Кентавры племени Маграм,玛格拉姆半人马,瑪格拉姆半人馬
94,Maraudine,Maraudine,Maraudine,Maraudine,Maraudine,마라우딘일족,Maraudino,Мародин,玛洛迪,瑪洛迪
108,Theramore,Theramore,Theramore,Theramore,Theramore,테라모어,Theramore,Терамор,塞拉摩,塞拉摩人類
109,"Stacheleber, Razorfen","Quilboar, Razorfen","Jabaespín, Rajacieno","Jabaespín, Rajacieno","Huran, Tranchebauge",가시멧돼지 - 가시덩굴일족,"Javatusco, Cortacharco",Свинобраз: Иглошкуры,剃刀沼泽野猪人,剃刀沼澤野豬人
110,"Stacheleber, Grimmhauer 2","Quilboar, Razormane 2","Jabaespín, Crines de Acero 2","Jabaespín, Crines de Acero 2","Huran, Tranchecrin 2",가시멧돼지 - 서슬갈기일족 2,"Javatusco, Crinavalha 2",Свинобраз: Иглогривые,钢鬃野猪人,鋼鬃野豬人
111,"Stacheleber, Totenkopf","Quilboar, Deathshead","Jabaespín, Galponmuerte","Jabaespín, Galponmuerte","Huran, Tête de mort",가시멧돼지 - 죽음의 머리교,"Javatusco, Pontafatal",Свинобраз: Мертвая Голова,"Quilboar, Deathshead","Quilboar, Deathshead"
128,Feind,Enemy,Enemigo,Enemigo,Ennemi,적,Inimigo,Противник,敌人,敵人
148,Umgebung,Ambient,Ambiente,Ambiente,Ambiant,동물,Ambiente,Фауна,小动物,小動物
168,Karawane von Nethergarde,Nethergarde Caravan,Caravana Nethergarde,Caravana Nethergarde,Caravane de Rempart-du-Néant,네더가드 짐마차,Caravana de Etergarde,Караван Стражей Пустоты,奈瑟加德商队,奈瑟加德商隊
169,Steamwheedle-Kartell,Steamwheedle Cartel,Cártel Bonvapor,Cártel Bonvapor,Cartel Gentepression,스팀휘들 무역회사,Cartel Bondebico,Картель Хитрая Шестеренка,热砂港,熱砂港
189,Allianz Allgemein,Alliance Generic,Genérico de la Alianza,Genérico de la Alianza,Alliance (Générique),얼라이언스,Genérico da Aliança,Альянс: стандартный,联盟,聯盟
209,Nethergarde,Nethergarde,Nethergarde,Nethergarde,Rempart-du-Néant,네더가드,Etergarde,Крепость Стражей Пустоты,守望堡,奈瑟加德
229,Die Höhlen des Wehklagens,Wailing Caverns,Cuevas de los Lamentos,Cuevas de los Lamentos,Cavernes des lamentations,통곡의 동굴,Caverna Ululante,Пещеры Стенаний,哀嚎洞穴,哀嚎洞穴
249,Sillithid,Silithid,Silítidos,Silítidos,Silithides,실리시드,Silitídeo,Силитиды,异种蝎,異種蠍
269,Überlebende aus Silbermond,Silvermoon Remnant,Lunargenta Despogiz,Lunargenta Despogiz,Survivants de Lune-d'argent,실버문 생존자,Remanescentes de Luaprata,Дети Луносвета,银月幸存者,銀月倖存者
270,Stamm der Zandalar,Zandalar Tribe,Tribu Zandalar,Tribu Zandalar,Tribu Zandalar,잔달라 부족,Tribo Zandalar,Племя Зандалар,赞达拉部族,贊達拉部族
289, Schmiedekunst - Waffenschmiedekunst, Blacksmithing - Weaponsmithing, Herrería: armas, Herrería: armas, Forge - Fabricant d'armes, 대장기술 - 무기 제작, Ferraria - Forja de Armas,Кузнечное дело: ковка оружия,黑水海盗, 鍛造 - 武器鑄造
309,Skorpid,Scorpid,Escórpido,Escórpido,Scorpide,전갈,Escorpídeo,Скорпид,蝎子,蠍子
310,Wildtier - Fledermaus,Beast - Bat,Bestia: murciélago,Bestia: murciélago,Bête - Chauve-souris,야수 - 박쥐,Fera - Morcego,Животное: летучая мышь,蝙蝠,蝙蝠
311,Titanisch,Titan,Titán,Titán,Titan,티탄,Titã,Титан,泰坦,泰坦
329,Zuchtmeister Fizzule,Taskmaster Fizzule,Capataz Burbujita,Capataz Fizzule,Sous-chef Fizzule,감독관 피즐,Capataz Arruela,Надсмотрщик Физзул,工头费苏勒,工頭費蘇勒
349,Ravenholdt,Ravenholdt,Ravenholdt,Ravenholdt,Ravenholdt,라벤홀트 암살단,Corvoforte,Черный Ворон,拉文霍德,拉文霍德
369,Gadgetzan,Gadgetzan,Gadgetzan,Gadgetzan,Gadgetzan,가젯잔,Geringontzan,Прибамбасск,加基森,加基森
389,Gnomeregan-Bug,Gnomeregan Bug,Bicho de Gnomeregan,Bicho de Gnomeregan,Insecte de Gnomeregan,놈리건 버그,Inseto de Gnomeregan,Гномреганский жук,Gnomeregan Bug,諾姆瑞根蟲
409,Harpyie,Harpy,Arpía,Arpía,Harpie,하피,Harpia,Гарпия,鹰身人,鷹身人
429,Burning Blade,Burning Blade,Filo Ardiente,Filo Ardiente,Lame ardente,불타는 칼날단,Lâmina Ardente,Пылающий Клинок,火刃氏族,火刃氏族
449,Schattenseidewilderer,Shadowsilk Poacher,Furtivo Sedaumbría,Furtivo Sedaumbría,Braconnier Ombresoie,그늘거미 밀렵꾼,Larápio de Sedanera,Браконьер тенешелка,暗影蛛丝偷猎者,暗影蛛絲偷獵者
450,Sengende Spinne,Searing Spider,Araña abrasadora,Araña abrasadora,Araignée des Vents brûlants,용암거미,Aranha Ardente,Лавовый паук,Searing Spider,灼熱蜘蛛
469,Allianz,Alliance,Alianza,Alianza,Alliance,얼라이언스 연합,Aliança,Альянс,联盟,聯盟
470,Ratchet,Ratchet,Trinquete,Trinquete,Ratchet,톱니항,Vila Catraca,Кабестан,棘齿城,棘齒城
471,Wildhammerklan,Wildhammer Clan,Clan Martillo Salvaje,Clan Martillo Salvaje,Clan Wildhammer,와일드해머 드워프,Clã Martelo Feroz,Неистовый Молот,蛮锤部族,蠻錘部族
489,"Goblin, Dunkeleisen (Bargast)","Goblin, Dark Iron Bar Patron","Goblin, Dueño de un bar de Hierro Negro","Goblin, Dueño de bar Hierro Negro","Gobelin, client du bar sombrefer",고블린 - 검은무쇠 주점 손님,"Goblin, Cliente do Bar Ferro Negro",Гоблин: завсегдатай бара Черного Железа,"Goblin, Dark Iron Bar Patron",黑鐵酒吧哥布林老闆
509,Der Bund von Arathor,The League of Arathor,Liga de Arathor,Liga de Arathor,La Ligue d'Arathor,아라소르 연맹,A Liga de Arathor,Лига Аратора,阿拉索联军,阿拉索聯軍
510,Die Entweihten,The Defilers,Los Rapiñadores,Los Rapiñadores,Les Profanateurs,포세이큰 파멸단,Os Profanadores,Осквернители,污染者,污染者
511,Riese,Giant,Gigante,Gigante,Géant,거인,Gigante,Великан,巨人,巨人
529,Argentumdämmerung,Argent Dawn,Alba Argenta,El Alba Argenta,Aube d'argent,은빛 여명회,Aurora Argêntea,Серебряный Рассвет,银色黎明,銀色黎明
530,Darkspear,Darkspear Trolls,Trols de Lanza Negra,Trols Lanza Negra,Trolls Darkspear,검은창 트롤,Trolls Lançanegra,Племя Черного Копья,暗矛巨魔,暗矛食人妖
531,"Drachenschwarm, Bronze","Dragonflight, Bronze","Vuelo, Bronce","Vuelo, Bronce",Vol de bronze,용군단 - 청동용군단,Revoada Dragônica Bronze,Бронзовые драконы,青铜龙军团,青銅龍軍團
532,"Drachenschwarm, Blau","Dragonflight, Blue","Vuelo, Azul","Vuelo, Azul",Vol bleu,용군단 - 푸른용군단,Revoada Dragônica Azul,Синие драконы,蓝龙军团,藍龍軍團
549, Lederverarbeitung - Stamm, Leatherworking - Tribal, Peletería: tribal, Peletería: tribal, Travail du cuir - Tribal, 가죽세공 - 부족전통, Couraria - Tribal,Кожевничество: традиции предков, Leatherworking - Tribal, 製皮 - 部落
550, Ingenieurskunst - Goblin, Engineering - Goblin, Ingeniería: goblin, Ingeniería: goblin, Ingénieur - Gobelin, 기계공학 - 고블린, Engenharia - Goblin,Инженерное дело: школа гоблинов, Engineering - Goblin, 工程學 - 哥布林
551, Ingenieurskunst - Gnom, Engineering - Gnome, Ingeniería: gnoma, Ingeniería: gnoma, Ingénieur - Gnome, 기계공학 - 노움, Engenharia - Gnômica,Инженерное дело: школа гномов, Engineering - Gnome, 工程學 - 地精
569, Schmiedekunst - Hammerschmiedekunst, Blacksmithing - Hammersmithing, Herrería: martillos, Herrería: martillos, Forge - Fabricant de marteaux, 대장기술 - 망치 제작, Ferraria - Forja de Martelos,Кузнечное дело: ковка молотов, Blacksmithing - Hammersmithing, 鍛造 - 槌類鍛造
570, Schmiedekunst - Axtschmiedekunst, Blacksmithing - Axesmithing, Herrería: hachas, Herrería: hachas, Forge - Fabricant de haches, 대장기술 - 도끼 제작, Ferraria - Forja de Machados,Кузнечное дело: ковка топоров, Blacksmithing - Axesmithing, 鍛造 - 斧類鍛造
571, Schmiedekunst - Schwertschmiedekunst, Blacksmithing - Swordsmithing, Herrería: espadas, Herrería: espadas, Forge - Fabricant d'épées, 대장기술 - 검 제작, Ferraria - Forja de Espadas,Кузнечное дело: ковка мечей, Blacksmithing - Swordsmithing, 鍛造 - 劍類鍛造
572,"Troll, Vilebranch","Troll, Vilebranch","Trol, Vilrama","Trol, Vilrama","Troll, Vilebranch",트롤 - 썩은가지부족,"Troll, Ramatorpe",Тролль: Порочная Ветвь,邪枝巨魔,邪枝食人妖
573,Südmeerfreibeuter,Southsea Freebooters,Filibusteros del Mar del Sur,Filibusteros de los Mares del Sur,Flibustiers des Mers du sud,남쪽바다 해적단,Os Flibusteiros dos Mares do Sul,Флибустьеры Южных морей,南海海盗,南海海盜
574,Caer Darrow,Caer Darrow,Castel Darrow,Castel Darrow,Caer Darrow,카엘 다로우,Caer Darrow,Каэр Дарроу,凯尔达隆,凱爾達隆
575,"Furbolg, nicht verderbt","Furbolg, Uncorrupted","Fúrbolg, incorrupto","Fúrbolg, incorrupto","Furbolg, non corrompu",오염되지 않은 펄볼그,"Pelurso, não corrompido","Фурболг, Неиспорченный",未堕落的熊怪,未墮落的熊怪
576,Holzschlundfeste,Timbermaw Hold,Bastión de los Fauces de Madera,Bastión Fauces de Madera,Les Grumegueules,나무구렁 요새,Domínio dos Presamatos,Древобрюхи,木喉要塞,木喉要塞
577,Everlook,Everlook,Vista Eterna,Vista Eterna,Long-guet,눈망루 마을,Visteterna,Круговзор,永望镇,永望鎮
589,Wintersäblerausbilder,Wintersaber Trainers,Entrenadores de Sableinvernales,Instructores de sableinvernales,Éleveurs de sabres-d'hiver,눈호랑이 조련사,Treinadores de Sabres-do-inverno,Укротители ледопардов,冬刃豹训练师,冬刃豹訓練師
609,Zirkel des Cenarius,Cenarion Circle,Círculo Cenarion,Círculo Cenarion,Cercle cénarien,세나리온 의회,Círculo Cenariano,Круг Кенария,塞纳里奥议会,塞納里奧議會
629,Shatterspear,Shatterspear Trolls,Trols Rompelanzas,Trols Rompelanzas,Trolls Shatterspear,트롤 - 뾰족창부족,Trolls Lança Partida,Тролли из племени Пронзающего Копья,断矛巨魔,斷矛食人妖
630,Ravasaurusausbilder,Ravasaur Trainers,Entrenadores de Ravasaurios,Instructores de Ravasaurios,Eleveurs de ravasaures,라바사우루스 조련사,Treinadores de Ravassauros,Дрессировщики равазавров,暴掠龙训练师,暴掠龍訓練師
649,Majordomus Executus,Majordomo Executus,Mayordomo Executus,Mayordomo Executus,Chambellan Executus,청지기 이그젝큐투스,Senescal Executus,Мажордом Экзекутус,管理者埃克索图斯,管理者埃克索圖斯
669,Wildtier - Aasvogel,Beast - Carrion Bird,Bestia: pájaro carroñero,Bestia: pájaro carroñero,Bête - Charognard,야수 - 독수리,Fera - Ave Carniceira,Животное: падальщик,Beast - Carrion Bird,禿鷹
