ID,UnitName,FactionName,FactionID
247,Billy Maclure,Stormwind,72
248,Gramma Stonefield,Stormwind,72
250,Pa Maclure,Stormwind,72
251,Maybell Maclure,Stormwind,72
252,Tommy Joe Stonefield,Stormwind,72
253,William Pestle,Stormwind,72
255,Gerard Tiller,Stormwind,72
257,Kobold Worker,Kobold,25
258,Joshua Maclure,Stormwind,72
261,Guard Thomas,Stormwind,72
263,Lord Ello Ebonlocke,Stormwind,72
264,Commander Althea Ebonlocke,"Human, Night Watch",49
265,Madame Eva,Stormwind,72
266,Wiley the Black,Stormwind,72
267,Clerk Daltry,Stormwind,72
268,Sirra Von'Indi,Stormwind,72
269,Role Dreuger,Stormwind,72
270,Councilman Millstipe,Stormwind,72
271,Ambassador Berrybuck,Stormwind,72
272,Chef Grual,Stormwind,72
273,Tavernkeep Smitts,Stormwind,72
274,Barkeep Hann,Stormwind,72
275,Whit Wantmal,Stormwind,72
276,Viktori Prism'Antras,Stormwind,72
277,Roberto Pupellyverbos,Stormwind,72
278,Sara Timberlain,Stormwind,72
279,Morgan Pestle,Stormwind,72
284,Brown Horse,Friendly,31
285,Murloc,Murloc,19
288,Jitters,Stormwind,72
289,Abercrombie,Stormwind,72
294,Marshal Haggard,Stormwind,72
295,Innkeeper Farley,Stormwind,72
297,Caretaker Folsom,Stormwind,72
299,Young Wolf,Beast - Wolf,29
300,Zzarc' Vul,Ogre,38
302,Blind Mary,Stormwind,72
304,Felsteed,Friendly,31
305,White Stallion,Friendly,31
307,Pinto,Friendly,31
308,Black Stallion,Friendly,31
311,Sven Yorgen,Stormwind,72
313,Theocritus,Stormwind,72
314,Eliza,Monster,14
315,Stalvan Mistmantle,Monster,14
325,Hogan Ference,Stormwind,72
327,Goldtooth,Kobold,25
328,Zaldimar Wefhellt,Stormwind,72
329,Earth Elemental,Creature,7
330,Princess,Beast - Boar,23
331,Maginor Dumas,Stormwind,72
332,Master Mathias Shaw,Stormwind,72
334,Gath'Ilzogg,"Orc, Blackrock",34
335,Singe,"Orc, Blackrock",34
338,Mazen Mac'Nadir,Stormwind,72
340,Kendor Kabonka,Stormwind,72
341,Foreman Oslow,Stormwind,72
342,Martie Jainrose,Stormwind,72
343,Chef Breanna,Stormwind,72
344,Magistrate Solomon,Stormwind,72
345,Bellygrub,Monster,14
346,Barkeep Daniels,Stormwind,72
347,Grizzle Halfmane,Frostwolf Clan,729
348,Zem Leeward,Stormwind,72
349,Corporal Keeshan,Escortee,40
352,Dungar Longdrink,Stormwind,72
356,Black Wolf,Friendly,31
358,Timber Wolf,Friendly,31
359,Winter Wolf,Friendly,31
372,Karm Ironquill,Stormwind,72
374,Cog Glitzspinner,Gnomeregan Exiles,54
375,Priestess Anetta,Stormwind,72
376,High Priestess Laurena,Stormwind,72
377,Priestess Josetta,Stormwind,72
379,Darcy,Stormwind,72
381,Dockmaster Baren,Stormwind,72
382,Marshal Marris,Stormwind,72
383,Jason Mathers,Stormwind,72
384,Katie Hunter,Stormwind,72
385,Horse,Friendly,31
390,Porcine Entourage,Beast - Boar,23
391,Old Murk-Eye,Murloc,19
392,Captain Grayson,Friendly,31
395,Markus,Stormwind,72
397,Morganth,"Gnoll, Shadowhide",18
412,Stitches,"Undead, Scourge",20
415,Verner Osgood,Stormwind,72
416,Imp,Monster,14
417,Felhunter,"PLAYER, Gnome",8
422,Murloc Flesheater,Murloc,19
423,Redridge Mongrel,"Gnoll, Redridge",17
424,Redridge Poacher,"Gnoll, Redridge",17
426,Redridge Brute,"Gnoll, Redridge",17
428,Dire Condor,Monster,14
429,Shadowhide Darkweaver,"Gnoll, Shadowhide",18
430,Redridge Mystic,"Gnoll, Redridge",17
431,Shadowhide Slayer,"Gnoll, Shadowhide",18
432,Shadowhide Brute,"Gnoll, Shadowhide",18
433,Shadowhide Gnoll,"Gnoll, Shadowhide",18
434,Rabid Shadowhide Gnoll,"Gnoll, Shadowhide",18
435,Blackrock Champion,"Orc, Blackrock",34
436,Blackrock Shadowcaster,"Orc, Blackrock",34
437,Blackrock Renegade,"Orc, Blackrock",34
440,Blackrock Grunt,"Orc, Blackrock",34
441,Black Dragon Whelp,Monster,14
442,Tarantula,Beast - Spider,22
445,Redridge Alpha,"Gnoll, Redridge",17
446,Redridge Basher,"Gnoll, Redridge",17
448,Hogger,"Gnoll, Riverpaw",16
449,Defias Knuckleduster,Defias Brotherhood,15
450,Defias Renegade Mage,Defias Brotherhood,15
452,Riverpaw Bandit,"Gnoll, Riverpaw",16
453,Riverpaw Mystic,"Gnoll, Riverpaw",16
454,Young Goretusk,Creature,7
456,Murloc Minor Oracle,Murloc,19
458,Murloc Hunter,Murloc,19
459,Drusilla La Salle,Stormwind,72
460,Alamar Grimm,Gnomeregan Exiles,54
461,Demisette Cloyce,Stormwind,72
462,Vultros,Beast - Carrion Bird,669
464,Guard Parker,Stormwind,72
465,Barkeep Dobbins,Stormwind,72
466,General Marcus Jonathan,Stormwind,72
467,The Defias Traitor,Escortee,40
468,Town Crier,Stormwind,72
469,Lieutenant Doren,Stormwind,72
471,Mother Fang,Beast - Spider,22
472,Fedfennel,"Gnoll, Riverpaw",16
473,Morgan the Collector,Defias Brotherhood,15
474,Defias Rogue Wizard,Defias Brotherhood,15
475,Kobold Tunneler,Kobold,25
476,Kobold Geomancer,Kobold,25
478,Riverpaw Outrunner,"Gnoll, Riverpaw",16
480,Rusty Harvest Golem,Monster,14
481,Defias Footpad,Defias Brotherhood,15
482,Elling Trias,Stormwind,72
483,Elaine Trias,Stormwind,72
485,Blackrock Outrunner,"Orc, Blackrock",34
486,Tharil'zun,"Orc, Blackrock",34
487,Protector Bialon,Stormwind,72
488,Protector Weaver,Stormwind,72
489,Protector Dutfield,Stormwind,72
490,Protector Gariel,Stormwind,72
491,Quartermaster Lewis,Stormwind,72
494,Watcher Bukouris,Stormwind,72
495,Watcher Keefer,"Human, Night Watch",49
499,Watcher Paige,"Human, Night Watch",49
500,Riverpaw Scout,"Gnoll, Riverpaw",16
501,Riverpaw Herbalist,"Gnoll, Riverpaw",16
502,Benny Blaanco,Defias Brotherhood,15
503,Lord Malathrom,"Undead, Scourge",20
504,Defias Trapper,Defias Brotherhood,15
505,Greater Tarantula,Beast - Spider,22
506,Sergeant Brashclaw,"Gnoll, Riverpaw",16
507,Fenros,Worgen,24
511,Insane Ghoul,"Undead, Scourge",20
513,Murloc Netter,Murloc,19
514,Smith Argus,Stormwind,72
515,Murloc Raider,Murloc,19
517,Murloc Oracle,Murloc,19
518,Yowler,"Gnoll, Redridge",17
519,Slark,Murloc,19
520,Brack,Murloc,19
521,Lupos,Beast - Wolf,29
522,Mor'Ladim,"Undead, Scourge",20
523,Thor,Stormwind,72
524,Rockhide Boar,Creature,7
525,Mangy Wolf,Beast - Wolf,29
531,Skeletal Fiend,"Undead, Scourge",20
533,Nightbane Shadow Weaver,Worgen,24
534,Nefaru,Worgen,24
539,Pygmy Venom Web Spider,Beast - Spider,22
543,Nalesette Wildbringer,Darnassus,69
544,Murloc Nightcrawler,Murloc,19
545,Murloc Tidecaller,Murloc,19
547,Great Goretusk,Creature,7
548,Murloc Minor Tidecaller,Murloc,19
550,Defias Messenger,Defias Brotherhood,15
565,Rabid Dire Wolf,Beast - Wolf,29
568,Shadowhide Warrior,"Gnoll, Shadowhide",18
569,Green Recluse,Beast - Spider,22
570,Brain Eater,"Undead, Scourge",20
572,Leprithus,"Undead, Scourge",20
573,Foe Reaper 4000,Monster,14
574,Naraxis,Beast - Spider,22
575,Fire Elemental,Scarlet Crusade,56
576,Watcher Ladimore,"Human, Night Watch",49
578,Murloc Scout,Murloc,19
579,Shadowhide Assassin,"Gnoll, Shadowhide",18
580,Redridge Drudger,"Gnoll, Redridge",17
582,Old Blanchy,Friendly,31
583,Defias Ambusher,Defias Brotherhood,15
584,Kazon,Beast - Wolf,29
587,Bloodscalp Warrior,"Troll, Bloodscalp",26
588,Bloodscalp Scout,"Troll, Bloodscalp",26
589,Defias Pillager,Defias Brotherhood,15
590,Defias Looter,Defias Brotherhood,15
594,Defias Henchman,Defias Brotherhood,15
595,Bloodscalp Hunter,"Troll, Bloodscalp",26
596,Brainwashed Noble,Defias Brotherhood,15
597,Bloodscalp Berserker,"Troll, Bloodscalp",26
598,Defias Miner,Defias Brotherhood,15
599,Marisa du'Paige,Defias Brotherhood,15
603,Grimtooth,Monster,14
604,Plague Spreader,"Undead, Scourge",20
615,Blackrock Tracker,"Orc, Blackrock",34
616,Chatter,Beast - Spider,22
619,Defias Conjurer,Defias Brotherhood,15
620,Chicken,Prey,28
622,Goblin Engineer,Defias Brotherhood,15
623,Skeletal Miner,"Undead, Scourge",20
624,Undead Excavator,"Undead, Scourge",20
625,Undead Dynamiter,"Undead, Scourge",20
626,Foreman Thistlenettle,"Undead, Scourge",20
628,Black Ravager,Beast - Wolf,29
633,Elaine Carevin,Stormwind,72
634,Defias Overseer,Defias Brotherhood,15
636,Defias Blackguard,Defias Brotherhood,15
639,Edwin VanCleef,Defias Brotherhood,15
641,Goblin Woodcarver,Defias Brotherhood,15
642,Sneed's Shredder,Defias Brotherhood,15
643,Sneed,Defias Brotherhood,15
644,Rhahk'Zor,Defias Brotherhood,15
645,Cookie,Defias Brotherhood,15
646,Mr. Smite,Defias Brotherhood,15
647,Captain Greenskin,Defias Brotherhood,15
656,Wilder Thistlenettle,Ironforge,47
657,Defias Pirate,Defias Brotherhood,15
658,Sten Stoutarm,Ironforge,47
659,El Pollo Grande,Blackfathom,88
660,Bloodscalp Witch Doctor,"Troll, Bloodscalp",26
661,Jonathan Carevin,Stormwind,72
663,Calor,Stormwind,72
664,Benjamin Carevin,Stormwind,72
667,Skullsplitter Warrior,"Troll, Skullsplitter",27
669,Skullsplitter Hunter,"Troll, Skullsplitter",27
670,Skullsplitter Witch Doctor,"Troll, Skullsplitter",27
671,Bloodscalp Headhunter,"Troll, Bloodscalp",26
672,Skullsplitter Spiritchaser,"Troll, Skullsplitter",27
674,Venture Co. Strip Miner,Venture Company,41
675,Venture Co. Foreman,Venture Company,41
676,Venture Co. Surveyor,Venture Company,41
677,Venture Co. Tinkerer,Venture Company,41
678,Mosh'Ogg Mauler,Ogre,38
679,Mosh'Ogg Shaman,Ogre,38
680,Mosh'Ogg Lord,Ogre,38
681,Young Stranglethorn Tiger,Monster,14
682,Stranglethorn Tiger,Monster,14
683,Young Panther,Monster,14
684,Shadowmaw Panther,Monster,14
685,Stranglethorn Raptor,Beast - Raptor,42
686,Lashtail Raptor,Beast - Raptor,42
687,Jungle Stalker,Beast - Raptor,42
688,Stone Maw Basilisk,Basilisk,43
689,Crystal Spine Basilisk,Basilisk,43
690,Cold Eye Basilisk,Basilisk,43
691,Lesser Water Elemental,Elemental,74
694,Bloodscalp Axe Thrower,"Troll, Bloodscalp",26
696,Skullsplitter Axe Thrower,"Troll, Skullsplitter",27
697,Bloodscalp Shaman,"Troll, Bloodscalp",26
698,Bloodscalp Tiger,"Troll, Bloodscalp",26
699,Bloodscalp Beastmaster,"Troll, Bloodscalp",26
701,Bloodscalp Mystic,"Troll, Bloodscalp",26
702,Bloodscalp Scavenger,"Troll, Bloodscalp",26
703,Lieutenant Fangore,"Gnoll, Shadowhide",18
704,Ragged Timber Wolf,Beast - Wolf,29
705,Ragged Young Wolf,Beast - Wolf,29
706,Frostmane Troll Whelp,"Troll, Frostmane",33
707,Rockjaw Trogg,Trogg,32
708,Small Crag Boar,Beast - Boar,23
709,Mosh'Ogg Warmonger,Ogre,38
710,Mosh'Ogg Spellcrafter,Ogre,38
711,Ardo Dirtpaw,"Gnoll, Redridge",17
712,Redridge Thrasher,"Gnoll, Redridge",17
713,Balir Frosthammer,Ironforge,47
714,Talin Keeneye,Ironforge,47
715,Hemet Nesingwary,Friendly,31
716,Barnil Stonepot,Friendly,31
717,Ajeck Rouack,Friendly,31
718,Sir S. J. Erlgadin,Friendly,31
721,Rabbit,Prey,28
723,Mosh'Ogg Butcher,Ogre,38
724,Burly Rockjaw Trogg,Trogg,32
727,Ironforge Mountaineer,Ironforge,47
728,Bhag'thera,Monster,14
729,Sin'Dall,Monster,14
730,Tethis,Beast - Raptor,42
731,King Bangalash,Monster,14
732,Murloc Lurker,Murloc,19
733,Sergeant Yohwa,Stormwind,72
734,Corporal Bluth,Stormwind,72
735,Murloc Streamrunner,Murloc,19
736,Panther,Monster,14
737,Kebok,Booty Bay,21
738,Private Thorsen,Stormwind,72
739,Brother Nimetz,Stormwind,72
740,Adolescent Whelp,"Dragonflight, Green",44
741,Dreaming Whelp,"Dragonflight, Green",44
742,Green Wyrmkin,"Dragonflight, Green",44
743,Wyrmkin Dreamwalker,"Dragonflight, Green",44
744,Green Scalebane,"Dragonflight, Green",44
745,Scalebane Captain,"Dragonflight, Green",44
746,Elder Dragonkin,"Dragonflight, Green",44
747,Marsh Murloc,Murloc,19
750,Marsh Inkspewer,Murloc,19
751,Marsh Flesheater,Murloc,19
752,Marsh Oracle,Murloc,19
754,Rebel Watchman,Stormwind,72
755,Lost One Mudlurker,Lost Ones,45
756,Skullsplitter Panther,"Troll, Skullsplitter",27
757,Lost One Fisherman,Lost Ones,45
759,Lost One Hunter,Lost Ones,45
760,Lost One Muckdweller,Lost Ones,45
761,Lost One Seer,Lost Ones,45
762,Lost One Riftseeker,Lost Ones,45
763,Lost One Chieftain,Lost Ones,45
764,Swampwalker,Monster,14
765,Swampwalker Elder,Monster,14
766,Tangled Horror,Monster,14
767,Swamp Jaguar,Monster,14
768,Shadow Panther,Monster,14
769,Deathstrike Tarantula,Beast - Spider,22
770,Corporal Kaleb,Stormwind,72
771,Commander Felstrom,"Undead, Scourge",20
772,Stranglethorn Tigress,Monster,14
773,Krazek,Booty Bay,21
775,Kurzen's Agent,"Gnoll, Shadowhide",18
777,Amy Davenport,Stormwind,72
780,Skullsplitter Mystic,"Troll, Skullsplitter",27
781,Skullsplitter Headhunter,"Troll, Skullsplitter",27
782,Skullsplitter Scout,"Troll, Skullsplitter",27
783,Skullsplitter Berserker,"Troll, Skullsplitter",27
784,Skullsplitter Beastmaster,"Troll, Skullsplitter",27
785,Skeletal Warder,"Undead, Scourge",20
786,Grelin Whitebeard,Ironforge,47
787,Skeletal Healer,"Undead, Scourge",20
789,Kimberly Hiett,Stormwind,72
790,Karen Taylor,Stormwind,72
791,Lindsay Ashlock,Stormwind,72
793,Kara Adams,Stormwind,72
794,Matt,Stormwind,72
795,Mark,Stormwind,72
796,Joshua,Stormwind,72
797,Bo,Stormwind,72
798,Solomon,Stormwind,72
799,Kevin,Stormwind,72
800,Kyle,Stormwind,72
801,Eric,Stormwind,72
802,Jay,Stormwind,72
804,Dana,Stormwind,72
805,Cameron,Stormwind,72
806,John,Stormwind,72
807,Lisa,Stormwind,72
808,Grik'nir the Cold,"Troll, Frostmane",33
810,Aaron,Stormwind,72
811,Jose,Stormwind,72
812,Alma Jainrose,Stormwind,72
813,Colonel Kurzen,Kurzen's Mercenaries,39
814,Sergeant Malthus,Kurzen's Mercenaries,39
815,Bookie Herod,Kurzen's Mercenaries,39
818,Mai'Zoth,Ogre,38
819,Servant of Ilgalar,"Gnoll, Shadowhide",18
820,Scout Riell,Stormwind,72
821,Captain Danuvin,Stormwind,72
822,Young Forest Bear,Beast - Bear,37
823,Deputy Willem,Stormwind,72
824,Defias Digger,Defias Brotherhood,15
826,Watcher Jan,Stormwind,72
827,Watcher Mocarski,Stormwind,72
828,Watcher Petras,"Human, Night Watch",49
829,Adlin Pridedrift,Ironforge,47
830,Sand Crawler,Creature,7
831,Sea Crawler,Creature,7
832,Dust Devil,Monster,14
833,Coyote Packleader,Beast - Wolf,29
834,Coyote,Beast - Wolf,29
836,Durnan Furcutter,Ironforge,47
837,Branstock Khalder,Ironforge,47
840,Watcher Backus,"Human, Night Watch",49
842,Lumberjack,Stormwind,72
843,Gina MacGregor,Stormwind,72
844,Antonio Perelli,Stormwind,72
846,Ghoul,"Undead, Scourge",20
847,Nathan,Friendly,31
848,Madison,Friendly,31
849,Rachel,Friendly,31
850,Erin,Stormwind,72
851,Hannah,Stormwind,72
853,Coldridge Mountaineer,Ironforge,47
854,Young Jungle Stalker,Beast - Raptor,42
855,Young Stranglethorn Raptor,Beast - Raptor,42
856,Young Lashtail Raptor,Beast - Raptor,42
857,Donal Osgood,The League of Arathor,509
858,Sorrow Spinner,Beast - Spider,22
859,Guard Berton,Stormwind,72
861,Stonard Scout,Orgrimmar,76
862,Stonard Explorer,Orgrimmar,76
863,Stonard Hunter,Orgrimmar,76
864,Stonard Orc,Orgrimmar,76
865,Stonard Wayfinder,Orgrimmar,76
866,Stonard Grunt,Orgrimmar,76
867,Stonard Cartographer,Orgrimmar,76
868,Stonard Shaman,Orgrimmar,76
869,Protector Dorana,Stormwind,72
870,Protector Deni,Stormwind,72
871,Saltscale Warrior,Murloc,19
873,Saltscale Oracle,Murloc,19
874,Protector Korelor,Stormwind,72
875,Saltscale Tide Lord,Murloc,19
876,Protector Leick,Stormwind,72
877,Saltscale Forager,Murloc,19
878,Scout Galiaan,Stormwind,72
879,Saltscale Hunter,Murloc,19
880,Erlan Drudgemoor,Defias Brotherhood,15
881,Surena Caledon,Defias Brotherhood,15
883,Deer,Prey,28
885,Watcher Keller,Stormwind,72
886,Watcher Hartin,"Human, Night Watch",49
887,Watcher Jordan,"Human, Night Watch",49
888,Watcher Dodds,"Human, Night Watch",49
889,Splinter Fist Ogre,Ogre,38
890,Fawn,Prey,28
891,Splinter Fist Fire Weaver,Ogre,38
892,Splinter Fist Taskmaster,Ogre,38
893,Lars,Stormwind,72
894,Homer Stonefield,Stormwind,72
895,Thorgas Grimson,Ironforge,47
896,Veldan Lightfoot,Stormwind,72
898,Nightbane Worgen,Worgen,24
900,Bailiff Conacher,Stormwind,72
903,Guard Howe,Stormwind,72
905,Sharptooth Frenzy,Monster,14
906,Maximillian Crowe,Stormwind,72
907,Keras Wolfheart,The League of Arathor,509
908,Flora Silverwind,Booty Bay,21
909,Defias Night Blade,Defias Brotherhood,15
910,Defias Enchanter,Defias Brotherhood,15
911,Llane Beshere,Stormwind,72
912,Thran Khorman,Ironforge,47
913,Lyria Du Lac,Stormwind,72
914,Ander Germaine,Stormwind,72
915,Jorik Kerridan,Stormwind,72
916,Solm Hargrin,Ironforge,47
917,Keryn Sylvius,Stormwind,72
918,Osborne the Night Man,Stormwind,72
920,Nightbane Tainted One,Worgen,24
921,Venture Co. Lumberjack,Venture Company,41
922,Silt Crawler,Creature,7
923,Young Black Ravager,Beast - Wolf,29
925,Brother Sammuel,Stormwind,72
926,Bromos Grummner,Ironforge,47
927,Brother Wilhelm,Stormwind,72
928,Lord Grayson Shadowbreaker,Stormwind,72
930,Black Widow Hatchling,Beast - Spider,22
931,Ariena Stormfeather,Stormwind,72
932,Guard Ashlock,Stormwind,72
933,Guard Hiett,Stormwind,72
934,Guard Clarke,Stormwind,72
935,Guard Pearce,Stormwind,72
936,Guard Adams,Stormwind,72
937,Kurzen Jungle Fighter,Kurzen's Mercenaries,39
938,Kurzen Commando,Kurzen's Mercenaries,39
939,Kurzen Elite,Kurzen's Mercenaries,39
940,Kurzen Medicine Man,Kurzen's Mercenaries,39
941,Kurzen Headshrinker,Kurzen's Mercenaries,39
942,Kurzen Witch Doctor,Kurzen's Mercenaries,39
943,Kurzen Wrangler,Kurzen's Mercenaries,39
944,Marryk Nurribit,Gnomeregan Exiles,54
945,Rybrad Coldbank,Ironforge,47
946,Frostmane Novice,"Troll, Frostmane",33
947,Rohh the Silent,"Gnoll, Shadowhide",18
948,Rotted One,"Undead, Scourge",20
949,Carrion Recluse,Beast - Spider,22
950,Swamp Talker,Murloc,19
951,Brother Paxton,Stormwind,72
952,Brother Neals,Stormwind,72
954,Kat Sampson,Ironforge,47
955,Sergeant De Vries,Stormwind,72
956,Dorin Songblade,Stormwind,72
957,Dane Lindgren,Stormwind,72
958,Dawn Brightstar,Stormwind,72
959,Morley Eberlein,Stormwind,72
960,Gunder Thornbush,Stormwind,72
963,Deputy Rainer,Stormwind,72
976,Kurzen War Tiger,Kurzen's Mercenaries,39
977,Kurzen War Panther,Kurzen's Mercenaries,39
978,Kurzen Subchief,Kurzen's Mercenaries,39
979,Kurzen Shadow Hunter,Kurzen's Mercenaries,39
980,Grimnal,Orgrimmar,76
981,Hartash,Orgrimmar,76
982,Thultash,Orgrimmar,76
983,Thultazor,Orgrimmar,76
984,Thralosh,Orgrimmar,76
985,Malosh,Orgrimmar,76
986,Haromm,Orgrimmar,76
987,Ogromm,Orgrimmar,76
988,Kartosh,Orgrimmar,76
989,Banalash,Orgrimmar,76
999,Watcher Royce,Stormwind,72
1000,Watcher Blomberg,"Human, Night Watch",49
1001,Watcher Hutchins,"Human, Night Watch",49
1007,Mosshide Gnoll,"Gnoll, Mosshide",51
1008,Mosshide Mongrel,"Gnoll, Mosshide",51
1009,Mosshide Mistweaver,"Gnoll, Mosshide",51
1010,Mosshide Fenrunner,"Gnoll, Mosshide",51
1011,Mosshide Trapper,"Gnoll, Mosshide",51
1012,Mosshide Brute,"Gnoll, Mosshide",51
1013,Mosshide Mystic,"Gnoll, Mosshide",51
1014,Mosshide Alpha,"Gnoll, Mosshide",51
1015,Highland Raptor,Beast - Raptor,42
1016,Highland Lashtail,Beast - Raptor,42
1017,Highland Scytheclaw,Beast - Raptor,42
1018,Highland Razormaw,Beast - Raptor,42
1019,Elder Razormaw,Beast - Raptor,42
1020,Mottled Raptor,Beast - Raptor,42
1021,Mottled Screecher,Beast - Raptor,42
1022,Mottled Scytheclaw,Beast - Raptor,42
1023,Mottled Razormaw,Beast - Raptor,42
1024,Bluegill Murloc,Murloc,19
1025,Bluegill Puddlejumper,Murloc,19
1026,Bluegill Forager,Murloc,19
1027,Bluegill Warrior,Murloc,19
1028,Bluegill Muckdweller,Murloc,19
1029,Bluegill Oracle,Murloc,19
1030,Black Slime,Monster,14
1031,Crimson Ooze,Monster,14
1032,Black Ooze,Monster,14
1033,Monstrous Ooze,Monster,14
1034,Dragonmaw Raider,"Orc, Dragonmaw",52
1035,Dragonmaw Swamprunner,"Orc, Dragonmaw",52
1036,Dragonmaw Centurion,"Orc, Dragonmaw",52
1037,Dragonmaw Battlemaster,"Orc, Dragonmaw",52
1038,Dragonmaw Shadowwarder,"Orc, Dragonmaw",52
1039,Fen Dweller,Monster,14
1040,Fen Creeper,Monster,14
1041,Fen Lord,Monster,14
1042,Red Whelp,"Dragonflight, Red",50
1043,Lost Whelp,"Dragonflight, Red",50
1044,Flamesnorting Whelp,"Dragonflight, Red",50
1045,Red Dragonspawn,"Dragonflight, Red",50
1046,Red Wyrmkin,"Dragonflight, Red",50
1047,Red Scalebane,"Dragonflight, Red",50
1048,Scalebane Lieutenant,"Dragonflight, Red",50
1049,Wyrmkin Firebrand,"Dragonflight, Red",50
1050,Scalebane Royal Guard,"Dragonflight, Red",50
1051,Dark Iron Dwarf,"Dwarf, Dark Iron",48
1052,Dark Iron Saboteur,"Dwarf, Dark Iron",48
1053,Dark Iron Tunneler,"Dwarf, Dark Iron",48
1054,Dark Iron Demolitionist,"Dwarf, Dark Iron",48
1057,Dragonmaw Bonewarder,"Orc, Dragonmaw",52
1059,Ana'thek the Cruel,"Troll, Skullsplitter",27
1060,Mogh the Undying,"Troll, Skullsplitter",27
1061,Gan'zulah,"Troll, Bloodscalp",26
1062,Nezzliok the Dire,"Troll, Bloodscalp",26
1063,Jade,"Dragonflight, Green",44
1064,Grom'gol Grunt,Orgrimmar,76
1065,Riverpaw Shaman,"Gnoll, Riverpaw",16
1068,Gorn,Orgrimmar,76
1069,Crimson Whelp,"Dragonflight, Red",50
1070,Deputy Feldon,Stormwind,72
1071,Longbraid the Grim,Ironforge,47
1072,Roggo Harlbarrow,Ironforge,47
1073,Ashlan Stonesmirk,Ironforge,47
1074,Motley Garmason,Ironforge,47
1075,Rhag Garmason,Ironforge,47
1076,Merrin Rockweaver,Ironforge,47
1077,Prospector Whelgar,Ironforge,47
1078,Ormer Ironbraid,Ironforge,47
1081,Mire Lord,Monster,14
1082,Sawtooth Crocolisk,Monster,14
1083,Murloc Shorestriker,Murloc,19
1084,Young Sawtooth Crocolisk,Monster,14
1085,Elder Stranglethorn Tiger,Monster,14
